Row_Order,Section,Variable_Label,condition,Timepoint,Score_Variable,N,Mean,SD,M_SD
1,Teacher-Reported Outcomes,BESS IRI,Control,Pre,Imputed_pre_teacher_BESS_IRI,41,9.560975609756097,3.6745665083639794,9.56 (3.67)
1,Teacher-Reported Outcomes,BESS IRI,REP,Pre,Imputed_pre_teacher_BESS_IRI,39,7.897435897435898,3.4166378656499807,7.90 (3.42)
1,Teacher-Reported Outcomes,BESS IRI,Control,Post,Imputed_post_teacher_BESS_IRI,41,9.097560975609756,3.4554658010808077,9.10 (3.46)
1,Teacher-Reported Outcomes,BESS IRI,REP,Post,Imputed_post_teacher_BESS_IRI,39,7.205128205128205,2.4080947609817485,7.21 (2.41)
2,Teacher-Reported Outcomes,BESS ERI,Control,Pre,Imputed_pre_teacher_BESS_ERI,41,4.975609756097561,4.84503769272257,4.98 (4.85)
2,Teacher-Reported Outcomes,BESS ERI,REP,Pre,Imputed_pre_teacher_BESS_ERI,39,4.17948717948718,5.3255678959435855,4.18 (5.33)
2,Teacher-Reported Outcomes,BESS ERI,Control,Post,Imputed_post_teacher_BESS_ERI,41,5.682926829268292,4.457796677677459,5.68 (4.46)
2,Teacher-Reported Outcomes,BESS ERI,REP,Post,Imputed_post_teacher_BESS_ERI,39,3.358974358974359,3.7939507216452615,3.36 (3.79)
3,Teacher-Reported Outcomes,BESS ARI,Control,Pre,Imputed_pre_teacher_BESS_ARI,41,4.731707317073171,3.4133882744562074,4.73 (3.41)
3,Teacher-Reported Outcomes,BESS ARI,REP,Pre,Imputed_pre_teacher_BESS_ARI,39,5.769230769230769,3.645195384710201,5.77 (3.65)
3,Teacher-Reported Outcomes,BESS ARI,Control,Post,Imputed_post_teacher_BESS_ARI,41,5.7560975609756095,2.671895280553469,5.76 (2.67)
3,Teacher-Reported Outcomes,BESS ARI,REP,Post,Imputed_post_teacher_BESS_ARI,39,6.435897435897435,3.3934524555607295,6.44 (3.39)
4,Teacher-Reported Outcomes,BESS BERI,Control,Pre,Imputed_pre_teacher_BESS_BERI,41,67.63414634146342,11.010804006885635,67.63 (11.01)
4,Teacher-Reported Outcomes,BESS BERI,REP,Pre,Imputed_pre_teacher_BESS_BERI,39,61.58974358974359,11.066112208278385,61.59 (11.07)
4,Teacher-Reported Outcomes,BESS BERI,Control,Post,Imputed_post_teacher_BESS_BERI,41,64.4390243902439,9.602210111447794,64.44 (9.60)
4,Teacher-Reported Outcomes,BESS BERI,REP,Post,Imputed_post_teacher_BESS_BERI,39,58.56410256410256,10.184598464541477,58.56 (10.18)
5,Student-Reported Outcomes,YSR - Anxious/Depressed,Control,Pre,Imputed_pre_YSR_Anxious_Depressed,41,63.829268292682926,9.68220646088584,63.83 (9.68)
5,Student-Reported Outcomes,YSR - Anxious/Depressed,REP,Pre,Imputed_pre_YSR_Anxious_Depressed,39,62.666666666666664,11.30983115266335,62.67 (11.31)
5,Student-Reported Outcomes,YSR - Anxious/Depressed,Control,Post,Imputed_post_YSR_Anxious_Depressed,41,64.85365853658537,11.682381982305142,64.85 (11.68)
5,Student-Reported Outcomes,YSR - Anxious/Depressed,REP,Post,Imputed_post_YSR_Anxious_Depressed,39,62.12820512820513,11.358232551486928,62.13 (11.36)
6,Student-Reported Outcomes,YSR - Withdrawn/Depressed,Control,Pre,Imputed_pre_YSR_Withdrawn_Depressed,41,63.46341463414634,10.35639310034051,63.46 (10.36)
