Section,Variable_Label,REP Pre M (SD),REP Post M (SD),Control Pre M (SD),Control Post M (SD)
Teacher-Reported Outcomes,BESS IRI,7.90 (3.42),7.21 (2.41),9.56 (3.67),9.10 (3.46)
Teacher-Reported Outcomes,BESS ERI,4.18 (5.33),3.36 (3.79),4.98 (4.85),5.68 (4.46)
Teacher-Reported Outcomes,BESS ARI,5.77 (3.65),6.44 (3.39),4.73 (3.41),5.76 (2.67)
Teacher-Reported Outcomes,BESS BERI,61.59 (11.07),58.56 (10.18),67.63 (11.01),64.44 (9.60)
Student-Reported Outcomes,YSR - Anxious/Depressed,62.67 (11.31),62.13 (11.36),63.83 (9.68),64.85 (11.68)
Student-Reported Outcomes,YSR - Withdrawn/Depressed,64.05 (11.61),61.31 (8.64),63.46 (10.36),62.90 (10.77)
Student-Reported Outcomes,YSR - Somatic Complaints,63.79 (9.73),59.33 (9.07),61.78 (9.72),60.61 (9.52)
Student-Reported Outcomes,YSR - Social Problems,64.95 (9.97),60.90 (10.02),64.37 (9.96),66.61 (11.68)
Student-Reported Outcomes,YSR - Internalizing Problems,64.33 (9.88),60.23 (12.72),63.71 (10.02),63.24 (13.28)
Student-Reported Outcomes,BFS Internalizing,8.13 (4.89),6.33 (6.33),8.80 (5.34),8.24 (6.46)
Student-Reported Outcomes,BFS Externalizing,4.36 (5.46),3.33 (4.57),5.61 (4.78),6.93 (5.93)
Student-Reported Outcomes,BFS Total,13.03 (8.34),9.72 (7.88),14.61 (9.10),14.71 (10.76)
Student-Reported Outcomes,SRCS,24.13 (13.56),23.41 (16.28),28.24 (13.04),26.05 (11.75)
Student-Reported Outcomes,CASSS - Caregiver,51.95 (14.37),54.92 (14.79),50.93 (14.98),48.59 (15.40)
Student-Reported Outcomes,CASSS - Teacher,53.62 (14.96),56.69 (14.64),48.37 (13.00),49.00 (16.59)
Student-Reported Outcomes,PCOISS,15.77 (4.51),13.77 (3.81),16.07 (4.08),14.20 (3.98)
