"nrow","nlevels","successes","trials","mean","lower","upper"
64,8,27,200,0.135,0.0908871017548978,0.190309172683398
80,10,28,200,0.14,0.0950875173590198,0.195945261119614
96,12,33,200,0.165,0.116383119958054,0.223843467711821
112,14,39,200,0.195,0.142491874779059,0.256785687526559
128,16,38,200,0.19,0.13810312537284,0.251331518623744
144,18,40,200,0.2,0.146894488215759,0.2622263645896
160,20,46,200,0.23,0.17358086280159,0.294606394565981
192,24,54,200,0.27,0.209803337466145,0.337152590687331
224,28,63,200,0.315,0.251305325654517,0.384277697725427
256,32,72,200,0.36,0.293504720891167,0.430713946018717
